,Date,AAPL.O,GLD,GM,IVV,SHY.O,SP500
58,2017/12/19,-0.010713574,0.000751409,0.00803407,-0.003939392,-0.000476588,-0.00323552
59,2017/12/20,-0.001089169,0.002667113,0.000705799,-0.00052033,0.000119168,-0.000828247
60,2017/12/21,0.003778342,0.001414016,-0.008502649,0.002005497,-7.05E-05,0.001983662
61,2017/12/22,0,0.00522281,-0.003326209,-0.000259745,-0.000357974,-0.000458279
62,2017/12/26,-0.025697345,0.006839465,-0.005249356,-0.00126258,-0.000119353,-0.001058943
63,2017/12/27,0.000175865,0.003770496,-0.011791738,0.000631489,0.000477327,0.000790585
64,2017/12/28,0.002809648,0.005059583,0.001693071,0.001855013,0.000119296,0.001832348
65,2017/12/29,-0.010872547,0.006490895,-0.009469538,-0.003490275,0.00023855,-0.005196658
66,2018/1/2,0.017746227,0.012058024,0.019568205,0.007411559,-0.000357846,0.008269097
67,2018/1/3,-0.000174171,-0.002640318,0.024108944,0.005779831,0,0.006378433
68,2018/1/4,0.004634197,0.005114283,0.030361118,0.004322193,-0.000477327,0.004020568
69,2018/1/5,0.011320984,-0.001036724,-0.00294952,0.006303192,0,0.007009178
70,2018/1/8,-0.003721201,-0.000159591,0.004760295,0.002213073,0,0.001660942
71,2018/1/9,-0.000114718,-0.004639266,-0.003851823,0.002280503,-0.000358145,0.001302055
72,2018/1/10,-0.000229476,0.002402307,-0.024125237,-0.001592184,0.000358145,-0.001112825
73,2018/1/11,0.005664117,0.003273848,0.027298403,0.007073033,-0.000358145,0.007008997
74,2018/1/12,0.010273383,0.01204452,-0.00271924,0.006523321,-0.00011941,0.006726951
75,2018/1/16,-0.00509512,0.001652698,0.00271924,-0.003614828,-0.000119424,-0.003530689
76,2018/1/17,0.016381351,-0.008132373,-0.003627299,0.00991838,-0.000358359,0.009370957
77,2018/1/18,0.000892957,-0.002222223,-0.003868477,-0.001492166,-0.000238977,-0.001617687
78,2018/1/19,-0.004472779,0.004439519,-0.016320325,0.004363643,0.000358444,0.004375641
79,2018/1/22,-0.008214754,0.001817679,0.003239244,0.007898211,-0.000477954,0.008034392
80,2018/1/23,0.000225963,0.004962008,0.002076844,0.002315303,0.000597407,0.002172036
81,2018/1/24,-0.016056827,0.012104322,0.017820897,-0.000525735,-0.00023892,-0.000560188
82,2018/1/25,-0.018012244,-0.006697844,-0.022905262,0.000385566,-0.000238977,0.000602453
83,2018/1/26,0.002334949,0.000781128,0.007616886,0.011533028,-0.000597693,0.011771597
84,2018/1/29,-0.020915718,-0.005637788,-0.010865903,-0.006638769,-0.000358787,-0.006754706
85,2018/1/30,-0.0059117,-0.004328159,-0.007466204,-0.010869672,0.00011961,-0.010958608
86,2018/1/31,0.002751198,0.006681102,-0.006814737,0.001761184,0,0.000488821
87,2018/2/1,0.002088244,0.003284846,0.000471476,-0.00126774,-0.000404435,-0.000648271
88,2018/2/2,-0.044359655,-0.013204625,-0.034283593,-0.022305493,0.000119768,-0.021436645
89,2018/2/5,-0.025301832,0.002528646,-0.036259249,-0.042244774,0.001794796,-0.041842561
90,2018/2/6,0.040942123,-0.010551885,0.057017899,0.019393509,-0.000717532,0.017290591
91,2018/2/7,-0.021639558,-0.004716801,0.012581768,-0.006175484,-0.000718047,-0.005014145
92,2018/2/8,-0.027902284,0.0015214,-0.039456646,-0.037683263,0.00011971,-0.038259085
93,2018/2/9,0.012108159,-0.001681682,0.017273267,0.015479298,0.000837571,0.014825627
94,2018/2/12,0.03948871,0.004797323,0.012940511,0.013224267,-0.000478526,0.013818684
95,2018/2/13,0.009967977,0.005647261,-0.014388737,0.002915127,0,0.002609544
96,2018/2/14,0.018269478,0.0169089,0.009854665,0.013676757,-0.001436954,0.013313461
97,2018/2/15,0.033026859,0.001169089,0.000956252,0.012329349,-0.000359561,0.011996836
98,2018/2/16,-0.003242432,-0.003276901,-0.018327014,0.000254495,0.000239722,0.000373392
99,2018/2/20,-0.003369354,-0.013532858,-0.007818266,-0.006125817,-0.000119854,-0.005858531
100,2018/2/21,-0.004549174,-0.00460501,-0.005164158,-0.005170434,0.000119854,-0.00551169
101,2018/2/22,0.008324407,0.005080182,0.008592173,0.00135937,0.000119839,0.000973121
102,2018/2/23,0.017241806,-0.001267628,0,0.015844729,0.000239636,0.015901246
103,2018/2/26,0.019579151,0.002454572,0.015282287,0.011640571,0.000119796,0.011688421
104,2018/2/27,-0.003246029,-0.010493776,-0.03353637,-0.01250825,-0.000718993,-0.012788287
105,2018/2/28,-0.001514684,-0.00103946,-0.020624474,-0.011422044,0.000239722,-0.011157824
106,2018/3/1,-0.017671507,-0.002242513,-0.040451458,-0.013406211,0.001393432,-0.013413908
107,2018/3/2,0.006890492,0.005357655,-0.009571995,0.005546326,-0.000479329,0.005058756
108,2018/3/5,0.0034558,-0.001676179,0.008248018,0.011001211,-5.99E-05,0.010971639
109,2018/3/6,-0.00084868,0.010726733,0.005021816,0.002731496,-0.000179818,0.002635318
110,2018/3/7,-0.009326198,-0.006422222,-0.005021816,-0.000363769,0,-0.000483967
111,2018/3/8,0.010853304,-0.002389107,0.012638399,0.004646275,0.000239751,0.004453177
112,2018/3/9,0.017035042,0.000956328,0,0.016842125,-0.000479559,0.017229512
113,2018/3/12,0.009621307,0,-0.000264306,-0.000819366,0.000479559,-0.00127478
114,2018/3/13,-0.009676871,0.001909916,0.004746844,-0.00650746,0.000239693,-0.006383925
115,2018/3/14,-0.00853776,-0.000636234,-0.008454476,-0.005142879,-0.000119839,-0.005740942
116,2018/3/15,0.001176174,-0.006384698,0.004236173,-0.001046195,0.000119839,-0.000782272
117,2018/3/16,-0.003532681,-0.002404811,0.002374985,0.000901957,-0.000479444,0.001702023
118,2018/3/19,-0.015397112,0.00216459,-0.024817818,-0.013505869,0,-0.014306008
119,2018/3/20,-0.000342329,-0.00449475,-0.003247635,0.001752977,-0.000359734,0.001480701
120,2018/3/21,-0.022915204,0.017305747,0.018531482,-0.001826084,0.000719338,-0.001845688
121,2018/3/22,-0.014230512,-0.003961029,-0.03327779,-0.025402121,0.000479272,-0.02548489
122,2018/3/23,-0.023428975,0.012855574,-0.033000757,-0.021474269,0.00023955,-0.021189833
123,2018/3/26,0.046379459,0.005236637,0.023047676,0.027221087,-0.000479157,0.026795026
124,2018/3/27,-0.025975486,-0.006177445,-0.031614261,-0.017683526,0.000718649,-0.017427312
125,2018/3/28,-0.011110562,-0.01390118,0.017060408,-0.002672063,0.000119725,-0.002920874
126,2018/3/29,0.007778415,0.000477099,0.024231794,0.014232009,0.000359088,0.013675733
127,2018/4/2,-0.006577791,0.011618388,-0.016089113,-0.023486535,0.000292346,-0.022590593
128,2018/4/3,0.010206911,-0.007572208,0.032465024,0.012917254,-0.000479214,0.012535935
129,2018/4/4,0.018941743,0.001186944,0.029080347,0.011548566,-0.000599341,0.011500106
130,2018/4/5,0.006910396,-0.005153629,-0.000789162,0.006940434,0.000239779,0.006839366
131,2018/4/6,-0.025911526,0.00467902,-0.00845671,-0.022342863,0.000838775,-0.022164023
132,2018/4/9,0.009869182,0.003396394,0.003972989,0.004310763,-0.000119782,0.003331017
133,2018/4/10,0.018643127,0.002362764,0.03225247,0.016123596,-0.000479272,0.016588521
134,2018/4/11,-0.004686288,0.007757748,-0.001793263,-0.005446125,0,-0.005540619
135,2018/4/12,0.009810224,-0.011698795,-0.004368502,0.008512924,-0.000599413,0.00821688
136,2018/4/13,0.003382352,0.006533656,-0.00257865,-0.003066799,-0.000239866,-0.002890822
